evolution$generation,relocationRate,gammaCDA,gammaCDE,betaDC,scenario,opositeRelativeAccessibility,nwCongestion,evolution$samples
4177,0.012581561681608065,0.5409012883055976,0.14087766303905933,0.1486801509193258,5,0.012186527613804288,0.13294966706783573,100
4177,0.012581561681608065,0.5409012883055976,0.14087766303905933,0.1486801509193258,1,0.01282186989968026,0.10550181801752018,100
4177,0.015304573867533033,0.40248035560285905,0.339922259169026,0.9028289043620549,6,0.019596916300417377,0.1610574296366546,100
4177,0.0,0.8606517155783567,0.7899501990823244,1.5387949554873377,7,-7.771561172376096E-16,0.13520151250607046,100
4177,0.0,0.5896149569041531,0.4119715708181945,3.21066918406265,5,0.0,0.1475599489934039,100
4177,0.015304573867533032,0.40248035560285905,0.339922259169026,0.902828904362055,5,0.019208311457412308,0.16639271364383382,100
4177,0.012581561681608065,0.5409012883055976,0.14087766303905933,0.1486801509193258,6,0.015306058667806322,0.131628120501922,100
4177,0.0,0.9208578129031421,0.22412023972899672,4.246794486088261,1,-2.4424906541753444E-15,0.14906091716405023,100
4177,0.0,0.8406231254596152,0.0,2.53225924021665,7,3.3306690738754696E-16,0.19857790111271645,100
4177,0.0,0.9999999999999999,0.19999694824218747,2.53225924021665,5,4.440892098500626E-16,0.12379838662985558,100
4177,0.0,0.6770572365235309,0.5420006360198896,2.086538726556694,4,1.3322676295501878E-15,0.11232821132608714,100
4177,0.9251240838348186,0.8646084975757998,0.5029066859337749,4.974879735074979,3,0.0171425599897303,0.03874086832957709,100
4177,0.0,0.5896149569041531,0.4119715708181946,3.2106691840626507,1,-1.1102230246251565E-15,0.1109841852374259,100
4177,0.0,0.27247134028836534,0.5403575719752589,2.498362278244507,5,3.3306690738754696E-16,0.07163591804304544,100
4177,0.014044368296601382,0.828593719554663,0.5558033669933501,1.824544095874487,1,0.009474828562430204,0.14604048087581192,100
4177,0.0,0.174716926648903,0.0,2.602543499941856,7,-6.661338147750939E-16,0.17904129267377047,100
4177,0.0,0.6539223514583944,0.0,1.6935722555197301,1,7.771561172376096E-16,0.12012982955647601,100
4177,0.007439285862930855,0.6539223514583944,0.9999999999999999,1.6935722555197301,5,0.006457207538807519,0.12516944504675134,100
4177,0.007439285862930855,0.6539223514583945,0.24451139517576334,1.6935722555197301,1,0.011252025064272697,0.1334692907758583,100
4177,0.01123972531162165,0.989229698816883,0.04670579146386177,3.4389443147582086,1,0.006368864326359747,0.13971774418589292,100
4177,0.728563071195951,0.6187466862956094,0.9346693743436616,4.946464141380789,5,0.018094498199236142,0.03837570759272122,100
4177,0.0068140068114213035,0.6215068470431853,0.6922322471496997,3.699180715334114,1,0.008045076699306264,0.1965914704055507,100
4177,0.0314528463506114,0.8741454291886299,0.3567358252159684,3.6553827148176485,7,0.012103740070588787,0.12124214408156224,100
4177,0.0,0.2073750820732299,0.2817712079549612,2.1879325581229736,6,-1.5543122344752192E-15,0.19821293409900567,100
4177,0.0,0.0,0.9999999999999999,0.8568603346099171,5,-1.1102230246251565E-15,0.10945308053226036,100
4177,0.038892345403274575,0.9999999999999999,0.06707766261729038,3.9024963415228826,1,0.016036688938253718,0.0994699547166017,100
