evolution$generation,relocationRate,gammaCDA,gammaCDE,betaDC,finalTime,scenario,oppositeRelativeAccessibility,relativeCongestion,evolution$samples
9,0.0,0.9999999999999999,0.7,1.3,80,6,-4.440892098500626E-16,0.23655385273519416,1
9,0.0,0.0,0.7999999999999999,4.6,45,3,1.1102230246251565E-16,0.33106965932988297,2
9,0.5,0.7,0.9999999999999999,2.500000000000001,27,2,0.07952150967430022,0.29104586894568707,2
9,0.1,0.7999999999999999,0.30000000000000004,4.899999999999999,141,1,0.03038028677973037,0.11777962904224913,1
