betaDC,collCost,evolveLanduse,evolveNetwork,expcollab,failed,finalTime,game,gametype,gammaCDA,gammaCDE,id,lambdaAcc,networkSpeed,nwBetweenness,nwCloseness,nwDiameter,nwLength,nwPathLength,nwRelativeSpeed,realcollab,regionalProba,relocationRate,replication,roadLength,setupType,synthConfFile,targetDistance,targetNetwork,wantedcollab
1.8,2.3274287508620912E-4,0,1,1.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.04661654135338346,1486.2162295185792,0.5596939500734691,43.18000473708978,0.06411047032208246,438.0882303109403,1.0,0.9091840668955423,0.0,-41635969,2.1240340961841184,gis,setup/conf/real_nonw.conf,29.972429701819674,1,1.0
1.8,2.3274287508620912E-4,0,1,1.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.030492898913951547,1552.4876616357444,0.5219361975190174,43.688048990970316,0.057819439306081535,385.2599103634851,1.0,0.9091840668955423,0.0,-2071440768,2.1240340961841184,gis,setup/conf/real_nonw.conf,33.498017298129945,1,1.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.018759018759018756,1710.0810651671134,0.7346959800313028,42.89841293615703,0.03717173135004284,648.7102087169213,0.0,0.9091840668955423,0.0,805188532,2.1240340961841184,gis,setup/conf/real_nonw.conf,28.4216937793192,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.02441292722622646,1612.9738367201571,0.6716403762466164,44.94886731013574,0.0458717137642732,587.4590605800126,0.0,0.9091840668955423,0.0,216161625,2.1240340961841184,gis,setup/conf/real_nonw.conf,38.02320541035838,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.031228070175438598,1528.3826650541719,0.44616838720194313,44.777412344081334,0.051210295282263535,426.2942928747939,0.0,0.9091840668955423,0.0,-2086779397,2.1240340961841184,gis,setup/conf/real_nonw.conf,32.22302655748813,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.00915032679738562,1846.7168232131246,0.4569598068072611,43.66809569216012,0.01908939315691914,523.2222292527779,0.0,0.9091840668955423,0.0,1255770747,2.1240340961841184,gis,setup/conf/real_nonw.conf,30.75583858151777,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.015350877192982455,1782.4367521703111,0.46543449303803935,43.460900816077256,0.02618347338612822,533.1785017067012,0.0,0.9091840668955423,0.0,734563327,2.1240340961841184,gis,setup/conf/real_nonw.conf,35.51485014843813,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.009523809523809525,1847.4493598114252,0.3097059246267466,44.00145030687307,0.01550648692687815,478.92520334388394,0.0,0.9091840668955423,0.0,-818606181,2.1240340961841184,gis,setup/conf/real_nonw.conf,42.389662242291436,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.016666666666666666,1732.289718798568,0.421637021355784,44.6178737710635,0.02968078566859762,544.6516135845549,0.0,0.9091840668955423,0.0,-1269279251,2.1240340961841184,gis,setup/conf/real_nonw.conf,33.56483522048058,1,0.0
1.8,2.3274287508620912E-4,0,1,0.0,0.0,10,1.8702391043770246,simple-nash,0.9,0.65,6,0.001,5.0,0.018031189083820665,1740.0024472552766,0.433015950444284,44.50854095063403,0.03171115681817223,453.2422781613501,0.0,0.9091840668955423,0.0,-1995179891,2.1240340961841184,gis,setup/conf/real_nonw.conf,35.653908583339565,1,0.0
1.8,0.0019505435562802468,0,1,0.75,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.06517857142857143,1329.802016421004,0.6945262339433532,43.69620724520153,0.1075559269928364,321.1690955265499,0.5,0.7732456939030753,0.0,-592922537,2.2243763133583756,gis,setup/conf/real_nonw.conf,44.26853550447141,1,0.75
1.8,0.0019505435562802468,0,1,0.25,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.007115384615384615,1876.8741041497274,0.49946447799760835,46.98196362262656,0.01576151578706135,445.7915275702693,0.0,0.7732456939030753,0.0,60252059,2.2243763133583756,gis,setup/conf/real_nonw.conf,46.70869807898453,1,0.25
1.8,0.0019505435562802468,0,1,0.0,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.009037745879851143,1845.52542010274,0.4216370213557839,45.45217038087006,0.01930949821721514,486.50980748856824,0.0,0.7732456939030753,0.0,917767209,2.2243763133583756,gis,setup/conf/real_nonw.conf,35.393591905186895,1,0.0
1.8,0.0019505435562802468,0,1,0.25,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.00846979107848673,1852.9912776105073,0.4674285699099513,46.78246369450598,0.016991722979784976,521.8138774882926,0.0,0.7732456939030753,0.0,-1665284960,2.2243763133583756,gis,setup/conf/real_nonw.conf,46.03694964635424,1,0.25
1.8,0.0019505435562802468,0,1,0.0,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.03383458646616541,1529.1112516463545,0.5995486370009121,44.0525207693511,0.06421474020095747,508.8098492339104,0.0,0.7732456939030753,0.0,-1155357699,2.2243763133583756,gis,setup/conf/real_nonw.conf,26.619273483229925,1,0.0
1.8,0.0019505435562802468,0,1,0.0,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.011764705882352941,1806.1748443943957,0.4430286249744556,42.92518731411191,0.02421589673336073,503.2593561806209,0.0,0.7732456939030753,0.0,-815524971,2.2243763133583756,gis,setup/conf/real_nonw.conf,33.20217565128587,1,0.0
1.8,0.0019505435562802468,0,1,0.0,0.0,10,1.483281320461179,simple-nash,0.9,0.65,26,0.001,5.0,0.02444614209320092,1587.4825684557863,0.4216370213557839,44.0408479508756,0.04322215851855156,486.5190839593093,0.0,0.7732456939030753,0.0,-432590830,2.2243763133583756,gis,setup/conf/real_nonw.conf,37.55430880273563,1,0.0
