betaDC,collCost,evolveLanduse,evolveNetwork,expcollab,failed,finalTime,game,gametype,gammaCDA,gammaCDE,id,lambdaAcc,networkSpeed,nwBetweenness,nwCloseness,nwDiameter,nwLength,nwPathLength,nwRelativeSpeed,realcollab,regionalProba,relocationRate,replication,roadLength,setupType,synthConfFile,targetDistance,targetNetwork,wantedcollab
1.8,0.002180397298466764,1,1,0.29480527444270554,0.0,10,2.039033271341358,discrete-choices,0.9,0.65,1876,0.001,5.0,0.011570827489481066,1778.0085932830857,0.47885841882408825,57.71025920391585,0.02793949718181342,527.6548876639366,0.0,0.5596327406852952,1.0,1674345333,2.495753088329168,gis,setup/conf/real_nonw.conf,47.47068585681379,1,0.3
1.8,0.002180397298466764,1,1,0.2948052744427065,0.0,10,2.039033271341358,discrete-choices,0.9,0.65,1876,0.001,5.0,0.017636684303350973,1753.948108767338,0.5123399438574869,53.5477009461653,0.029913899649413492,466.96725607087507,0.0,0.5596327406852952,1.0,2073982301,2.495753088329168,gis,setup/conf/real_nonw.conf,39.740720421561775,1,0.375
1.8,0.001483786200543707,1,1,0.35582887627363763,0.0,10,2.368135966153388,discrete-choices,0.9,0.65,1877,0.001,5.0,0.07453580901856763,946.77592570583,0.7795647257989698,72.60242302989911,0.19344901131699552,216.41118154424234,0.0,0.9062780888383535,1.0,-1857136596,3.611647915726386,gis,setup/conf/real_nonw.conf,60.54592524148101,1,0.5
1.8,0.001483786200543707,1,1,0.35582887627364035,0.0,10,2.368135966153388,discrete-choices,0.9,0.65,1877,0.001,5.0,0.04984126984126984,1177.2587668106721,0.7944601763179139,71.33241856772071,0.1445293882663789,290.28531779312794,0.0,0.9062780888383535,1.0,-1292580410,3.611647915726386,gis,setup/conf/real_nonw.conf,60.99780852891487,1,0.5
1.8,0.001483786200543707,1,1,0.35582887627363796,0.0,10,2.368135966153388,discrete-choices,0.9,0.65,1877,0.001,5.0,0.06899541682150377,1027.9547296802373,0.7554199416633726,70.8489226360131,0.179579403604622,248.65190245510948,0.5,0.9062780888383535,1.0,911575980,3.611647915726386,gis,setup/conf/real_nonw.conf,51.051928448345635,1,0.5
1.8,0.001483786200543707,1,1,0.3558288762736397,0.0,10,2.368135966153388,discrete-choices,0.9,0.65,1877,0.001,5.0,0.10947851197553933,279.44075220985053,0.8509108220258917,73.7849741383122,0.3429337558201701,58.66181037909068,0.0,0.9062780888383535,1.0,557705305,3.611647915726386,gis,setup/conf/real_nonw.conf,64.05192046181737,1,0.5
1.8,4.5316574562957604E-4,1,1,0.4548071014206926,0.0,10,2.2363668754466515,discrete-choices,0.9,0.65,1875,0.001,5.0,0.030160427807486633,1524.7883847735584,0.6314833044037694,69.38937660328276,0.08232721334120881,4.2573874816352475E15,0.0,0.2318597133371132,1.0,546532837,3.3207492083758257,gis,setup/conf/real_nonw.conf,59.41181470565985,1,0.2857142857142857
1.8,0.002180397298466764,1,1,0.2948052744427061,0.0,10,2.039033271341358,discrete-choices,0.9,0.65,1876,0.001,5.0,0.008870214752567693,1867.4029636203813,0.5716176681782059,54.00348596344958,0.020757164596122032,470.54793546969717,0.0,0.5596327406852952,1.0,1688855841,2.495753088329168,gis,setup/conf/real_nonw.conf,45.660685677527695,1,0.5
1.8,0.002180397298466764,1,1,0.2948052744427068,0.0,10,2.039033271341358,discrete-choices,0.9,0.65,1876,0.001,5.0,0.007916666666666667,1853.5587772244214,0.37373741263892074,53.403021808897854,0.01833199328006347,450.4167403649232,0.2,0.5596327406852952,1.0,-810204678,2.495753088329168,gis,setup/conf/real_nonw.conf,48.43483216856011,1,0.3
1.8,8.652439110524792E-5,1,1,0.0,0.0,10,2.041179137360589,discrete-choices,0.9,0.65,1890,0.001,5.0,0.028618421052631578,1517.9505706102054,0.5430602517775299,44.39510834757878,0.059869612944938866,574.9450506066881,0.0,0.8502503383289837,1.0,-324080551,2.0194263109828117,gis,setup/conf/real_nonw.conf,38.56772625362255,1,0.0
