betaDC,collCost,evolveLanduse,evolveNetwork,expcollab,failed,finalTime,game,gametype,gammaCDA,gammaCDE,id,lambdaAcc,networkSpeed,nwBetweenness,nwCloseness,nwDiameter,nwLength,nwPathLength,nwRelativeSpeed,realcollab,regionalProba,relocationRate,replication,roadLength,setupType,synthConfFile,targetDistance,targetNetwork,wantedcollab
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.1286535303776683,9.69908118038283,1.2280119032047088,82.99315765738214,0.4735483241521387,1.8975130687118467,0.0,0.9761785700993764,0.1,635570092,4.182881811660492,gis,setup/conf/real_nonw.conf,67.08010153458511,1,0.0
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.10373949579831933,7.12700160923217,0.8968577236657647,84.58721585829802,0.3458515507049857,1.446003649287998,0.0,0.9761785700993764,0.1,273237551,4.182881811660492,gis,setup/conf/real_nonw.conf,81.5027390411678,1,0.0
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.10387931034482759,270.513073376071,0.8974049977172944,83.19087674021851,0.3182732356667049,43.41559652511645,0.0,0.9761785700993764,0.1,1452000628,4.182881811660492,gis,setup/conf/real_nonw.conf,66.1751640421547,1,0.0
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.11226851851851852,8.485683291093567,1.0770411928094663,85.00393002959001,0.4125195386216878,1.6664971398417776,0.0,0.9761785700993764,0.1,618549323,4.182881811660492,gis,setup/conf/real_nonw.conf,62.385194710925305,1,0.0
1.8,2.506209954024784E-4,1,1,0.4749588683559474,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.10208333333333333,262.95136541400956,0.884213660889761,84.67734561210142,0.3357161688784274,49.8788331873506,1.0,0.9761785700993764,0.1,-905510408,4.182881811660492,gis,setup/conf/real_nonw.conf,84.3046718572989,1,1.0
1.8,2.506209954024784E-4,1,1,0.47495886835594847,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.08218390804597701,514.8166679197057,1.0347723122540975,84.85628994338843,0.27795565199218303,83.92968874580818,1.0,0.9761785700993764,0.1,1218020598,4.182881811660492,gis,setup/conf/real_nonw.conf,78.03602515159882,1,1.0
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.09001196172248804,247.81271101048762,0.8462062761433289,84.46415853388397,0.30464158643274564,46.288138148915415,0.0,0.9761785700993764,0.1,2051708531,4.182881811660492,gis,setup/conf/real_nonw.conf,68.94399728989654,1,0.0
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.11953509852216748,9.500116783556273,1.275478925759487,82.27324459940695,0.46383407855187225,1.8383218529272825,0.0,0.9761785700993764,0.1,1923843795,4.182881811660492,gis,setup/conf/real_nonw.conf,85.48438024442943,1,0.0
1.8,2.506209954024784E-4,1,1,0.47495886835595297,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.08136752136752136,582.844985798206,0.7834038006905992,87.25002724452396,0.26690685977621287,110.58942689040718,0.5,0.9761785700993764,0.1,757105419,4.182881811660492,gis,setup/conf/real_nonw.conf,84.92979124277906,1,0.75
1.8,2.506209954024784E-4,1,1,0.0,0.0,10,2.2847988595056905,discrete-choices,0.9,0.65,232,0.001,5.0,0.10556675627240145,7.928397683931018,1.0859616852907832,82.92469548304983,0.38580464627966193,1.609710947544104,0.0,0.9761785700993764,0.1,-416319265,4.182881811660492,gis,setup/conf/real_nonw.conf,79.89166195494292,1,0.0
1.8,0.0030788646806296283,1,1,0.5,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.014218540080609045,1721.103587045301,0.6962808433748892,72.54030383031092,0.04108199818325704,361.17817734697906,0.2,0.4277528101002614,0.1,93115639,3.597788708305843,gis,setup/conf/real_nonw.conf,75.53265394846663,1,0.5
1.8,0.0030788646806296283,1,1,0.5,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.02777777777777778,1476.6590360747362,0.68425646186835,71.48964384305239,0.08167693136077336,438.85574064137035,0.2857142857142857,0.4277528101002614,0.1,1917305385,3.597788708305843,gis,setup/conf/real_nonw.conf,52.78500357365055,1,0.5
1.8,0.0030788646806296283,1,1,0.5833333333333334,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.10498271889400922,703.2333459021315,1.343200675533899,71.54189380716177,0.34914874108572896,147.85599684162378,0.3333333333333333,0.4277528101002614,0.1,1498712646,3.597788708305843,gis,setup/conf/real_nonw.conf,70.3617963876586,1,0.5833333333333334
1.8,0.0030788646806296283,1,1,0.5,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.0806556948798328,877.1973559945295,1.0180209748987048,72.05405861982574,0.21947124756418734,199.1039394526581,0.4,0.4277528101002614,0.1,-982466129,3.597788708305843,gis,setup/conf/real_nonw.conf,61.252028938260636,1,0.5
1.8,0.0030788646806296283,1,1,0.25,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.0456989247311828,1459.5060943416404,1.0751377365293944,71.37857014909164,0.12742773396962154,361.6842878914733,0.0,0.4277528101002614,0.1,1577860512,3.597788708305843,gis,setup/conf/real_nonw.conf,63.07077955530148,1,0.25
1.8,0.0030788646806296283,1,1,0.5,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.00897562582345191,1823.7866613911688,0.5289783042620598,74.33453566907681,0.024455568511053613,408.47706726073585,0.16666666666666666,0.4277528101002614,0.1,-1915712081,3.597788708305843,gis,setup/conf/real_nonw.conf,75.71543206604127,1,0.5
1.8,0.0030788646806296283,1,1,0.625,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.06259600614439324,984.1040600421261,1.0071680781459766,73.36388680201536,0.19554514217128768,218.7630985224225,0.5,0.4277528101002614,0.1,1047784274,3.597788708305843,gis,setup/conf/real_nonw.conf,57.42691735324697,1,0.625
1.8,0.0030788646806296283,1,1,0.7,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.1247337278106509,308.0299278345369,0.9152818054470109,73.32407727376955,0.33226608486336456,64.5625528875867,0.6,0.4277528101002614,0.1,-669283828,3.597788708305843,gis,setup/conf/real_nonw.conf,66.86554325375273,1,0.7
1.8,0.0030788646806296283,1,1,0.625,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.1022206416943259,508.005237004664,1.0977202724477444,73.53337168893033,0.2705045453018623,88.52226959097565,0.25,0.4277528101002614,0.1,-375317548,3.597788708305843,gis,setup/conf/real_nonw.conf,64.00589213891644,1,0.625
1.8,0.0030788646806296283,1,1,0.75,0.0,10,1.565595765699415,simple-nash,0.9,0.65,228,0.001,5.0,0.1452798861480076,8.25812866199236,1.1051036819560671,73.48846323164135,0.40184972227480736,1.5815037791810005,0.5,0.4277528101002614,0.1,-1021641273,3.597788708305843,gis,setup/conf/real_nonw.conf,74.7486037964573,1,0.75
1.8,0.0011559736617757336,1,1,0.0,0.0,10,1.3615769306320862,simple-nash,0.9,0.65,211,0.001,5.0,0.023391812865497075,1693.2783041503747,0.5402018484830262,48.348649211050294,0.04592870167330919,411.6785023974005,0.0,0.9379611395316695,0.1,-394561955,2.3549102046369073,gis,setup/conf/real_nonw.conf,49.10671466789097,1,0.0
1.8,0.0011559736617757336,1,1,0.0,0.0,10,1.3615769306320862,simple-nash,0.9,0.65,211,0.001,5.0,0.01568627450980392,1738.3876651899307,0.41900508640757494,50.40421492464754,0.02956294353118774,402.8596666438789,0.0,0.9379611395316695,0.1,1649885802,2.3549102046369073,gis,setup/conf/real_nonw.conf,51.35177973535794,1,0.0
1.8,0.0011559736617757336,1,1,0.0,0.0,10,1.3615769306320862,simple-nash,0.9,0.65,211,0.001,5.0,0.01951581027667984,1684.902555047921,0.4195478974816821,48.68904769036103,0.033436864761152645,606.9694196168871,0.0,0.9379611395316695,0.1,692908411,2.3549102046369073,gis,setup/conf/real_nonw.conf,37.78477702712393,1,0.0
