time;indicators:overall-mean-accessibility;indicators:mean-travel-distance;indicators:overall-mean-employment-accessibility-per-capita;global:rel-diff-actives;global:rel-diff-employments
0;0.8562506109676182;31.666819042487717;1586644.7082584219;0;0
1;0.8601576961823891;30.70173144513411;2702896.0134840803;110.76219629977356;79.08815964336495
2;0.8672681409472531;29.014709070394645;2725642.1937332;52.22396121547665;40.83919885562682
3;0.8780396485601851;26.469587500815823;2762868.8516194974;35.427797790842625;27.706131402034572
4;0.8855908106018443;24.678528617849807;2790177.949917038;26.54871504827772;21.013393567826714
5;0.8918163997057914;23.24181652859994;2814074.4293845263;21.024167275691383;16.82882045762462
6;0.8962072129280547;22.232971778441204;2830912.6025034417;17.348107534897952;13.981880350355993
7;0.898258985157289;21.775048977665328;2840213.785462971;14.606169612574796;11.906828200381067
8;0.9013343181424379;21.064779355928803;2854938.3329093754;12.514561620719581;10.327740659977573
9;0.902777437240116;20.74500462051248;2861484.7380270953;10.871467915666281;9.117515107227915
