time;indicators:overall-mean-accessibility;indicators:mean-travel-distance;global:rel-diff-actives;global:rel-diff-employments
0;0.8562506109676182;31.666819042487756;0;0
1;0.8656237782885539;29.377691460793894;110.76219629977354;79.08815964336493
2;0.8752130679288482;27.140851982810844;52.17808428680645;40.793676995073916
3;0.8841105470770972;25.006237446265686;35.35037694839934;27.58520927630328
4;0.8901938920421846;23.599206216251748;26.493904276803377;20.787532889834566
5;0.8947918560240684;22.57018601484636;21.02751689304443;16.61447147608922
6;0.8981772300239431;21.77888197678807;17.388891438359725;13.794371785247364
7;0.9010902241723147;21.111254667808254;14.625934195756582;11.789794115276772
8;0.9053768205618538;20.128937266443934;12.542747848530443;10.261519441463278
9;0.9080434728084265;19.541245004329486;10.879614888007294;9.043761264628113
